mean,var
-124.74732666810354,2.1304992713731923
-48.28581399917603,4.245453799222043
-49.696010170380276,5.495630334262747
-45.14248184760412,5.9753004069252444
-49.31224949757258,4.933811855022454
-43.441112500429156,5.793118280564477
-48.226669688026114,5.351220015405533
-49.56603840192159,5.331797919751072
-54.213186081250505,4.4473893947589165
-55.964185520013174,4.738737369595307
-59.48719091018041,7.189440889395933
-49.18859446446101,3.936423959558955
-52.55013673901558,9.176097602855112
-46.074054809411365,7.0303655516454455
-48.68832570711772,5.6877120373571115
-53.120498317480084,5.943654285747988
-50.7869930366675,4.801628412089506
-52.25863913297653,4.596583755164965
-54.28732288479805,5.1909552799660394
-53.9535415550073,5.607412723121878
-54.24059207638105,3.966666238086642
-68.34931590358416,6.184624508789533
-63.01095040639242,4.525136898506557
-62.95366211533546,3.4710216366119866
-60.822336401542024,3.7506017915601446
-50.28830072482427,5.984770373280849
-48.38080984354019,4.244915485458155
-46.532718843221666,3.8522129137408294
-43.882589552799864,3.707550805802858
-46.60255323847135,3.641764586098373
