Epoch,Train_total_loss,Val_total_loss,Train_commit_loss,Val_commit_loss,Train_codes_usage,Val_codes_usage,Train_recon_loss,Val_recon_loss
1,87.68072221107946,6.6374552051016495,0.2362228939545743,0.3805006115275426,1.0,1.0,87.44449941107439,6.2569545939202795
2,5.212367312205757,4.333031858536862,0.5245916569701847,0.6383745585978345,1.0,1.0,4.687775658327523,3.6946572980508128
3,3.739562439817813,4.410890068650372,0.6543907106646515,0.6248538790559819,1.0,1.0,3.085171727721266,3.786036188524401
4,2.9652268573122518,3.646879929549591,0.5906789206684329,0.5305971771384242,1.0,1.0,2.37454793612456,3.1162827503341304
5,2.5667030373244,3.064038427477779,0.5176362235889768,0.4858542932187617,1.0,1.0,2.0490668150729086,2.5781841318358087
6,2.340971580654414,2.866097303982647,0.4741884602869073,0.4428566178777024,1.0,1.0,1.8667831188333324,2.4232406852867183
7,2.1978636935369016,2.747452640986619,0.4457608799449116,0.43612007096551414,1.0,1.0,1.7521028132851548,2.3113325739863555
8,2.0877557947303327,2.094030985233021,0.4231259401930927,0.4008899104192365,1.0,1.0,1.6646298543956237,1.6931410742158497
9,2.000698431051772,2.4139565433343084,0.40295610314878266,0.4004361410453176,1.0,1.0,1.5977423271319682,2.013520400023133
10,1.935767154035246,2.3212836069441396,0.3901270459609651,0.3807092046536261,1.0,1.0,1.5456401087666263,1.9405744015352275
11,1.884079920735757,2.265303339978332,0.380236201987473,0.392238528921083,1.0,1.0,1.5038437193147485,1.8730648130398744
12,1.8416803590914013,2.0477611217982163,0.37292565646902937,0.383764346807786,1.0,1.0,1.468754702441418,1.663996772126638
13,1.7966773783770382,2.1068381028291165,0.36188452790757797,0.35629165418044817,1.0,1.0,1.434792850689752,1.7505464490892517
14,1.7546735247626601,2.0130745868622437,0.3493815597772221,0.3470908522354134,1.0,1.0,1.4052919640334631,1.6659837335568422
15,1.7248618582611728,1.7858188334840657,0.3434809193864795,0.34725735135919317,1.0,1.0,1.3813809381430102,1.43856148181017
16,1.697152207934995,1.7571600267728504,0.33846068451497724,0.3416206077323418,1.0,1.0,1.3586915232311962,1.4155394203937293
17,1.6732610032324302,1.8755218485466656,0.3339059279785111,0.339894349434056,1.0,1.0,1.3393550749785545,1.535627499930836
18,1.6515873751141832,1.8002115724708614,0.33024889746840175,0.3282800179600338,1.0,1.0,1.3213384782909214,1.4719315574690306
19,1.632331200864524,1.7632054400167092,0.32657910948727426,0.3222900988119079,1.0,1.0,1.3057520919515817,1.4409153416139144
20,1.6139964655812715,1.8057412921186486,0.32218494713149076,0.32030743975762704,1.0,1.0,1.2918115167897253,1.485433851023536
21,1.5893003491816575,1.8490765556740283,0.3155901692020918,0.30771995034489735,1.0,1.0,1.2737101788191005,1.541356607374697
22,1.5724560463566966,1.9719109926707137,0.31201914553515764,0.31990485067981855,1.0,1.0,1.2604369010064267,1.6520061423685382
23,1.5582000938929625,1.7739608617619451,0.3092885906862168,0.3096503790511249,1.0,1.0,1.2489115029667852,1.4643104822859718
24,1.5447608545941813,2.051809070858054,0.3066547326507576,0.29737268251375765,1.0,1.0,1.238106122191252,1.754436390326922
25,1.5328136430748414,2.2911348898030637,0.3044943498543915,0.30492025678298795,1.0,1.0,1.2283192935312184,1.986214635616371
26,1.521856792688118,1.649302793531005,0.3027892430817439,0.29941236140420846,1.0,1.0,1.2190675506370245,1.3498904334957522
27,1.5111177252111867,1.846377647414001,0.3009769668352201,0.30044346885734025,1.0,1.0,1.2101407578370387,1.5459341792647414
28,1.4999587240667251,1.8127725056383401,0.2988579430811131,0.3002489818124358,1.0,1.0,1.2011007802853992,1.512523520458588
29,1.4907554684810678,1.6665568088654354,0.29713117542117046,0.28886270642658224,1.0,1.0,1.1936242935712889,1.3776941023759126
30,1.4806531583683795,1.6992947696506537,0.2951299939048894,0.2957265386957805,1.0,1.0,1.185523164624775,1.403568231946186
31,1.4738608253795218,1.6416246850739815,0.2938861064455514,0.2960722385546726,1.0,1.0,1.1799747178679156,1.3455524469756275
32,1.465107406677389,1.6570891979000006,0.2924800438702169,0.3012330192824729,1.0,1.0,1.1726273630117288,1.3558561775475395
33,1.4578787273439209,1.7395754478549252,0.291377437203619,0.2937192939213991,1.0,1.0,1.1665012906162893,1.4458561536502939
34,1.4502421564952626,1.774110984525308,0.290113535989961,0.2876891178780146,1.0,1.0,1.1601286209498187,1.4864218646646679
35,1.443191587515844,1.5419092447730027,0.2891984629703424,0.2889120835877774,1.0,1.0,1.153993123876759,1.2529971615943385
36,1.4366766184473994,1.7456257338256997,0.2873897762003393,0.28807794519059887,1.0,1.0,1.1492868413108204,1.4575477869986482
37,1.4291186361969965,1.7893043872295489,0.28572587904135804,0.2928859589438504,1.0,1.0,1.1433927572107114,1.4964184283958444
38,1.4225032435299352,1.4922667315038984,0.2846184580448185,0.28952992423471957,1.0,1.0,1.1378847848399765,1.2027368080402
39,1.4172225119634565,1.8622382700506208,0.28387449428030026,0.2955390748026001,1.0,1.0,1.1333480172858446,1.566699195436842
40,1.4115430170467562,1.6526534710917327,0.28280486922549847,0.290288331862362,1.0,1.0,1.1287381480022116,1.3623651400790673
41,1.4054104516158763,1.501252553530958,0.2818280304678831,0.282019529527067,1.0,1.0,1.1235824216318484,1.219233024900793
42,1.398796801550713,1.4624199584016326,0.2801575789812248,0.28806576584372373,1.0,1.0,1.1186392214601621,1.1743541942730373
43,1.393029083514541,1.6059361365176306,0.2788761874902777,0.28509251353229614,1.0,1.0,1.1141528957843025,1.3208436214432924
44,1.3881693067621153,1.610207152467343,0.2782289945651259,0.28312945387934935,1.0,1.0,1.1099403113472928,1.3270776978012375
45,1.3822201334309805,1.4564293704793219,0.2772320410612392,0.28023112205731454,1.0,1.0,1.1049880907175533,1.1761982474936352
46,1.3798230171770078,1.6554015427985187,0.2766199835518094,0.27540206229422387,1.0,1.0,1.103203033758947,1.3799994815113426
47,1.373480859911807,1.8879958858208017,0.27594097771749704,0.2709396444221736,1.0,1.0,1.0975398822375815,1.617056242138179
48,1.3695758071500874,1.6421264574923007,0.2750989648630526,0.2807415920332342,1.0,1.0,1.094476841728438,1.3613848642159918
49,1.3648047634767253,1.4257242816806217,0.2747792966561559,0.2827985955140659,1.0,1.0,1.0900254655853623,1.1429256833342338
50,1.3608382798361551,1.535510880768362,0.27410730329335303,0.27494933505748115,1.0,1.0,1.0867309769676505,1.2605615464032263
