Epoch,Train_total_loss,Val_total_loss,Train_commit_loss,Val_commit_loss,Train_codes_usage,Val_codes_usage,Train_recon_loss,Val_recon_loss
1,53.158894996708526,6.259508137969809,0.22274996087332713,0.35600019413918854,1.0,1.0,52.93614497079013,5.903507953712278
2,4.98393215045506,4.104044856843878,0.439305658081454,0.4382055747030655,1.0,1.0,4.544626496598487,3.6658392805987705
3,3.62928024667621,3.2777815051416157,0.4366582045538121,0.4455687954722891,1.0,1.0,3.192622042004385,2.832212711463131
4,2.8274226502103312,2.856568122992672,0.34687477909618597,0.4380169242085474,1.0,1.0,2.480547872585379,2.4185511985323624
5,2.441394942866711,2.4434364280076313,0.2891417322434493,0.30321568104319485,1.0,1.0,2.1522532114572233,2.1402207458157725
6,2.254492257942997,2.1961949412900768,0.2510073957797592,0.26675859669571567,1.0,1.0,2.003484862879186,1.9294363461678736
7,2.1244337126345165,2.0316386042829553,0.22143336522384077,0.19785660483265627,1.0,1.0,1.903000348378386,1.8337820009294004
8,2.029501645466846,1.9963243728957936,0.19961296693041308,0.1825598606086457,1.0,1.0,1.8298886766718208,1.8137645151194701
9,1.9527975783428648,1.9321565314608113,0.18397727614581397,0.18563306998803725,1.0,1.0,1.7688203017840038,1.7465234607174882
10,1.903110243356467,1.8701272944840106,0.17657796717165264,0.17729969489473726,1.0,1.0,1.7265322770148421,1.692827601493223
11,1.8555435567873961,1.855032369226941,0.1689361197856248,0.18440555731560385,1.0,1.0,1.6866074358649088,1.6706268111403162
12,1.8177692999998394,1.769600504680823,0.16558271990705442,0.15071883419215867,1.0,1.0,1.6521865802304672,1.6188816695681596
13,1.775592458191492,1.7321033805073756,0.1605122171051273,0.1492649031745972,1.0,1.0,1.6150802401265223,1.5828384776553484
14,1.746221016647949,1.7336764260103734,0.1578126607153962,0.15593326728252072,1.0,1.0,1.5884083548153591,1.577743158421018
15,1.7104086747202223,1.6914787906779658,0.15548301693897817,0.1426053989556674,1.0,1.0,1.5549256572501837,1.5488733940668318
16,1.6852824031803146,1.6591946495875889,0.1532882553660001,0.14704104877984764,1.0,1.0,1.5319941481919577,1.5121536028297045
17,1.6583281465606428,1.6958131839254715,0.14902071183136298,0.1713283555592,1.0,1.0,1.5093074355986453,1.5244848273749587
18,1.6346975704999258,1.6364372478996687,0.14646588497988902,0.15033080706563645,1.0,1.0,1.488231685370553,1.4861064370103976
19,1.6185583072579777,1.6109986716867626,0.14580290512414895,0.14195905595923428,1.0,1.0,1.4727554017286493,1.4690396157589987
20,1.5934113678861697,1.5798820696511515,0.1431958285251823,0.12782670058695542,1.0,1.0,1.4502155396225838,1.452055368151559
21,1.5706734084214429,1.5894974311528514,0.1394875417340551,0.15205780874619138,1.0,1.0,1.4311858667995006,1.437439621690712
22,1.5497831464632008,1.5252635432397426,0.13564775025800516,0.13011700200524728,1.0,1.0,1.414135396039977,1.3951465406286931
23,1.537819376622485,1.6529607879825983,0.13365774712237158,0.1434125450558748,1.0,1.0,1.40416163020426,1.5095482420140864
24,1.5209247676976254,1.5093272590838616,0.132568836987113,0.13443570922363898,1.0,1.0,1.3883559314067915,1.3748915493803013
25,1.50503947150745,1.527450222903597,0.13027851574256655,0.15059018987914452,1.0,1.0,1.3747609561071226,1.376860034251792
26,1.4934660459395572,1.5251918051789153,0.1297899951279132,0.1501493295448131,1.0,1.0,1.363676052158964,1.3750424758937316
27,1.4839026193117768,1.495491493339901,0.128814594529042,0.13571307154366433,1.0,1.0,1.3550880254573783,1.359778423243868
28,1.4747076909733423,1.4706906861966866,0.12699019659700023,0.12366862496736812,1.0,1.0,1.3477174936623608,1.347022061488948
29,1.471383961226394,1.4531055954466903,0.12693538056704223,0.13146318835938997,1.0,1.0,1.3444485806455835,1.321642406324147
30,1.4631776921411754,1.5380621162865709,0.12740917949531122,0.15496678803009872,1.0,1.0,1.3357685130903814,1.383095329389401
31,1.4575312973138774,1.8860688053441275,0.12731544428761682,0.18903043293399066,1.0,1.0,1.3302158536950033,1.6970383735745358
32,1.4488137859571824,1.4710033568056986,0.12624280966834067,0.13747205793731693,1.0,1.0,1.322570976605511,1.333531297499426
33,1.43874612236602,1.480974301365386,0.1252922143889424,0.13001385387800313,1.0,1.0,1.3134539082347403,1.3509604465118055
34,1.436341715903821,1.4411235452327709,0.1265462488939134,0.13820186096077358,1.0,1.0,1.3097954675350671,1.302921685082356
35,1.4284534514768574,1.4368348110313778,0.12642495330608006,0.12044697830801655,1.0,1.0,1.3020284984028705,1.316387832227705
36,1.42059821195688,1.424866296673526,0.12460749044447916,0.11115844725555452,1.0,1.0,1.2959907216972886,1.3137078502361978
37,1.4135097706771074,1.4171385367291782,0.12453385653936057,0.1361429403991357,1.0,1.0,1.288975913884018,1.2809955970538582
38,1.4060953308561661,1.531465030773892,0.12398104977606153,0.12319762081128113,1.0,1.0,1.2821142815108535,1.4082674115361231
39,1.3974950713869636,1.421438004298346,0.12331149683441128,0.1264044539698074,1.0,1.0,1.2741835740293594,1.2950335510680895
40,1.3920802685816662,1.4163628927379879,0.12240030511686581,0.12015240309797345,1.0,1.0,1.26967996366739,1.296210490473976
41,1.3886552166504493,1.4115840527676478,0.1215462544116702,0.128456130505804,1.0,1.0,1.2671089620342224,1.2831279199251782
42,1.37973208288016,1.3874478761850213,0.12079111880838178,0.12017954891466918,1.0,1.0,1.2589409641819242,1.2672683285684998
43,1.378106799995509,1.420292472512065,0.1211061312757047,0.12704744375652094,1.0,1.0,1.257000668672599,1.2932450297389892
