Epoch,Train_total_loss,Val_total_loss,Train_commit_loss,Val_commit_loss,Train_codes_usage,Val_codes_usage,Train_recon_loss,Val_recon_loss,Train_flatness_loss,Val_flatness_loss
1,133.8018783802971,26.44263554021779,0.09064085732795368,0.1514982139133703,1.0,1.0,133.1453697965918,25.526590572630806,0.18862268909218957,0.25484890783134895
2,21.697857128654892,18.44071711769587,0.18497612145596598,0.22089513406974856,1.0,1.0,20.575414989918563,17.216932409423315,0.3124886732607482,0.3342965305606021
3,15.950819772802914,13.560085868030662,0.26901429425826673,0.31133884996301514,1.0,1.0,14.665026397866205,12.192160393115337,0.3389263605303598,0.3521955468483615
4,11.06549581529724,9.205177926816015,0.37965590494990725,0.4380438520184046,1.0,1.0,9.716008687850163,7.851535469167846,0.3232770727076022,0.3051995362159069
5,8.365462838407554,7.759114728195255,0.5139180487602036,0.5659425867257742,1.0,1.0,7.093590622592753,6.560498147071162,0.2526513852942204,0.21089133431639853
6,7.3391629227111554,7.044806574970358,0.6677563858258813,0.732345035307518,1.0,1.0,6.161661328332855,5.869979914733629,0.1699150718252913,0.14749387365604755
7,6.746761796844547,6.549770632876625,0.8216450475589023,0.8930720807630804,1.0,1.0,5.560590823575335,5.339056065313927,0.1215086448249243,0.10588082916374449
8,6.304577497141918,6.136681896724782,0.9583914406448131,0.9635291305775381,1.0,1.0,5.081352971549271,4.933866094436324,0.08827769258300505,0.07976222758177463
9,5.950842186163446,5.838524418038155,1.07191216920472,1.0597574459349557,1.0,1.0,4.684331752934199,4.569058092334602,0.06486609059266958,0.06990295731883009
10,5.662634381271088,5.611447235702966,1.1635710542280042,1.2042036906576359,1.0,1.0,4.351975288914778,4.2846856630301176,0.04902934815652015,0.0408526276894511
11,5.413206328056682,5.445052599605126,1.217204022055065,1.2664952710711,1.0,1.0,4.075163701519669,4.057948698977378,0.040279533137757145,0.04020287674942097
