Epoch,Train_total_loss,Val_total_loss,Train_commit_loss,Val_commit_loss,Train_codes_usage,Val_codes_usage,Train_recon_loss,Val_recon_loss,Train_flatness_loss,Val_flatness_loss
1,82.99337105514381,18.234298046128156,0.13631619829704164,0.19484361446607967,1.0,1.0,81.30226445021826,16.67153195087417,0.1554790216547034,0.13679226000600725
2,14.403399366763477,10.62186493048688,0.2740694480813418,0.3679435063263535,1.0,1.0,13.253342225659862,9.800554082363467,0.08759877227695212,0.04533673168989173
3,8.703898444472799,7.730394001248516,0.454756908079387,0.5453049330520228,1.0,1.0,7.871614397767982,6.870060484117596,0.03775271406119892,0.0315028563896312
4,7.176994290497889,6.817987232771604,0.6471486250853211,0.7625933490725006,1.0,1.0,6.318229429573293,5.898660390185907,0.021161622849687416,0.015673349473924073
5,6.576897077348945,6.530128066549825,0.8431999597151655,1.0290417394557583,1.0,1.0,5.592959546992494,5.397047916042151,0.01407375647622498,0.010403840513782034
6,6.144913909050077,6.666508050910531,0.9863621162638115,1.1881664568864847,1.0,1.0,5.048255300572203,5.3744866576375845,0.011029649202819077,0.010385495182205353
7,5.780286173130667,8.06950773569099,1.0735272858311533,1.1904433995862551,1.0,1.0,4.611980504194056,6.772793397621767,0.009477838148572408,0.01062709545197932
8,5.488942301386639,9.085596414557992,1.1230342486340241,1.183515392778292,1.0,1.0,4.278716387441569,7.803998595048607,0.008719167074163021,0.009808241664766008
9,5.259276480206466,11.295939743267333,1.1579074713597202,1.1528572025178354,1.0,1.0,4.017621646587045,10.052800536658694,0.008374735486812676,0.009028202111396608
10,5.0682705302173,9.215917526921139,1.1790985757723025,1.3355789803251434,1.0,1.0,3.807425405306952,7.774592134016979,0.008174654387956467,0.010574640501840708
11,4.908650038738311,8.637488996932275,1.188711043647879,1.179003881502755,1.0,1.0,3.6386006444912904,7.36421782658573,0.008133835155308373,0.009426727203282878
12,4.734358090155983,8.118784308936526,1.1901238709845539,1.1868932433269195,1.0,1.0,3.463429685379157,6.823268242526155,0.008080453419646813,0.01086228360119374
13,4.566293698807327,7.6713189414784875,1.1818048354816537,1.1974849182845169,1.0,1.0,3.3034330733600363,6.370493683633925,0.00810557863072206,0.01033403247374774
14,4.457270820390083,8.525918614512255,1.171984294525799,1.1415431398882645,1.0,1.0,3.2043724112928604,7.289558847242267,0.008091412087333995,0.009481664750929372
