Epoch,Train_total_loss,Val_total_loss,Train_commit_loss,Val_commit_loss,Train_codes_usage,Val_codes_usage,Train_recon_loss,Val_recon_loss,Train_flatness_loss,Val_flatness_loss
1,178.53741372701612,20.040589191742587,0.1383136496018646,0.21752714588923797,1.0,1.0,177.45507416327374,18.87594372713113,0.1573376157186427,0.15785305051109458
2,16.58040363509149,13.876147217891388,0.27909043528839805,0.3420750632064755,1.0,1.0,15.20496988850385,12.380374606651596,0.18272388132471973,0.1922829220943813
3,10.833432730299116,8.473760498223928,0.44539910451034054,0.5415451286462792,1.0,1.0,9.628875341687309,7.362344649270617,0.12652637928315175,0.094978454432407
4,7.426250689384678,6.900805785183162,0.6580380233439372,0.7429550501364696,1.0,1.0,6.401821707974266,5.856930227722296,0.061065159344685746,0.050153419972723545
5,6.463846576755125,6.202577804211323,0.8490315279210382,0.8945525917322826,1.0,1.0,5.416065377192109,5.102743335917026,0.033124946106968735,0.03421364285303319
6,5.940144455797947,5.903358284431167,1.0048688044643703,1.1601912079984125,1.0,1.0,4.805996138543488,4.6179969461658334,0.02154658615604877,0.020861686576739393
7,5.570818965513074,5.5857416024187945,1.1094400474866566,1.2542839845021565,1.0,1.0,4.360790511748607,4.248721294765231,0.016764735942657292,0.013789388673372158
8,5.275164485355365,5.224712355730403,1.160556988202531,1.183338246768034,1.0,1.0,4.029842891310437,3.9262652115479804,0.014127433818293914,0.019184814121589882
9,5.0293945007364504,4.955005539117483,1.1759821637253323,1.1165717543428961,1.0,1.0,3.777924259461722,3.7473633661551817,0.01258134741607538,0.015178404654128641
10,4.829717769542239,4.889160621015331,1.1696930153191152,1.2105995200354338,1.0,1.0,3.5903678693136922,3.590754292685271,0.011609479529761494,0.014634469205725796
11,4.649665899991738,4.712639456559837,1.1431239787980898,1.1673695246378581,1.0,1.0,3.441453546254159,3.4663998537425753,0.010848063017696991,0.013145009554796833
12,4.47945894787153,4.522670542640525,1.0965864766613358,1.0248630859177827,1.0,1.0,3.3191123925141572,3.409924799882913,0.01062668005295625,0.014647108353360042
13,4.323485068559898,4.311873547638519,1.0496302112354774,1.02768269218976,1.0,1.0,3.2126845409651117,3.208403941448228,0.010195053227289079,0.012631154181003445
14,4.184923435591846,4.198815433284905,1.001019609767507,0.9914067002791392,1.0,1.0,3.124798156140095,3.1355561234277007,0.009850944464174597,0.011975437952873575
15,4.063861918172464,4.086040583340931,0.957476337519971,0.9485736159835687,1.0,1.0,3.0484540200661456,3.0708164414273034,0.009655257631407966,0.011108421319741992
16,3.962571752109145,4.890786434527691,0.9217148554111106,0.8727838962892943,1.0,1.0,2.9851623117734913,3.948873688903036,0.009282429409021593,0.011521473532849097
17,3.884594052243258,3.903569812010109,0.8908372220544906,0.8754382711925587,1.0,1.0,2.9392580082197504,2.9594202373601215,0.009083137500818737,0.011451885037375653
18,3.819217522771205,3.8189287930098264,0.8678885168359549,0.8321081314408829,1.0,1.0,2.8979648811134893,2.9233377714197344,0.00889402038615429,0.010580481817937979
19,3.7464337107246504,4.3870317684447215,0.8407227453611469,0.859271282888163,1.0,1.0,2.853467181214813,3.4646685485598407,0.00870729785967213,0.010515324759615374
20,3.6906972346864757,3.93902058138626,0.8191033587913956,0.8340033398398871,1.0,1.0,2.820593647871249,3.045554231490767,0.008500037340146373,0.009910500319556722
21,3.6479309365515222,3.932861052484955,0.8047359279241834,0.7848847523520265,1.0,1.0,2.7928841891988654,3.0745969643572715,0.008385136733844546,0.012229888444522765
22,3.6047587384643878,3.6598193233023215,0.7888220086017154,0.7811925785953988,1.0,1.0,2.766355086027506,2.8122534208659884,0.008263607211450337,0.011062219402976806
23,3.5592988954803886,4.0674152132831045,0.7734529036151317,0.7697037875903809,1.0,1.0,2.7365618235458165,3.236631864233862,0.008214028510378148,0.010179929769271788
24,3.525964761611149,3.6901581428222014,0.7612599561811123,0.7832104118564461,1.0,1.0,2.715536351188813,2.841039201881312,0.008194742729708378,0.010984756382583062
25,3.491509842646034,3.8275954149946383,0.7490202294231846,0.7354972951019867,1.0,1.0,2.693614397028809,3.0365904011303866,0.008145870104896293,0.009251286908355444
26,3.4503485547199673,3.586716104660356,0.733600360853745,0.7857341157736154,1.0,1.0,2.6683761411382885,2.7378377582453473,0.008062009601298142,0.010524037498430613
27,3.4126843147318113,3.464438416283845,0.7174813094713116,0.7145479849622219,1.0,1.0,2.6475157924035786,2.692380507787069,0.007947868358249429,0.00958498680712616
28,3.3746419317996743,3.492079253941146,0.7005775521146458,0.7299485412831045,1.0,1.0,2.6260125392845337,2.707938668094104,0.008008640443900287,0.009032009686205834
29,3.3395850479665756,3.4200951892112377,0.6839322201050071,0.6538730922630568,1.0,1.0,2.607881457652059,2.6928124669231948,0.007961894976075468,0.012234938334877984
30,3.3065296659499817,3.3758716371994986,0.6736264383025004,0.6574413167776437,1.0,1.0,2.585773496718442,2.659909180951018,0.007854954618370552,0.009753525469310676
31,3.2826338969918467,3.585008529671134,0.6627409266191904,0.6462760167785838,1.0,1.0,2.5729282780962484,2.8799103996421715,0.007827448797310921,0.009803684013758153
32,3.2459860502603566,3.359756342972381,0.6497675727388046,0.6749234828264904,1.0,1.0,2.54929861498735,2.625952722654061,0.007819977233927881,0.009813354804498863
33,3.202249520179966,3.236962675545286,0.6302404037372867,0.6207096765312967,1.0,1.0,2.5250798865381743,2.5584047766174445,0.007821538207271661,0.009641370989523734
34,3.173739360781129,3.5665725263362194,0.6166746021575887,0.6024494641440831,1.0,1.0,2.5103954354963935,2.9065887948128744,0.007778221199932138,0.00958904513169693
