Epoch,Train_total_loss,Val_total_loss,Train_commit_loss,Val_commit_loss,Train_codes_usage,Val_codes_usage,Train_recon_loss,Val_recon_loss
1,72.84839689517601,7.721637097432218,0.269518903131108,0.4189780095184995,1.0,1.0,72.57887811482016,7.3026590931377795
2,6.4532455612512925,5.755516696756719,0.6944023251470568,0.8908969567343199,1.0,1.0,5.758843235632183,4.864619740966507
3,5.343566299743612,5.038143334695882,1.029710655070157,1.0961684524194744,1.0,1.0,4.313855644201402,3.941974884101682
4,4.669797184286047,5.018921451810295,1.0549266985061931,1.0395209684794908,1.0,1.0,3.6148704850560383,3.979400484715495
5,4.273416003934181,4.571748581456282,1.014064270519153,0.9973921102354619,1.0,1.0,3.259351735004276,3.5743564660597
6,4.002766677608208,4.1355694546241315,0.9624928105563523,0.9252049114157809,1.0,1.0,3.0402738661549535,3.210364539368981
7,3.82487729950213,4.028070013273857,0.9296869735972053,0.9099289303470438,1.0,1.0,2.8951903266287404,3.118141085696195
8,3.700129207298396,3.8654815251875076,0.9106294820685069,0.9001278004903098,1.0,1.0,2.7894997246162188,2.9653537260818883
9,3.6112923453450834,3.7958372419713795,0.8992368171528501,0.8827781602976315,1.0,1.0,2.7120555272953313,2.9130590868348682
10,3.5393433997598343,3.780645625518267,0.8906470117529947,0.8881638936281456,1.0,1.0,2.648696387267289,2.89248173037955
11,3.4749737517257175,3.7421078953848723,0.8794867574948317,0.8844289468107657,1.0,1.0,2.595486993806037,2.8576789511546665
12,3.422503664035354,3.5868307730967794,0.8723224995474881,0.8738137250087581,1.0,1.0,2.5501811653532975,2.713017048025081
13,3.3865706728025877,3.763494541677779,0.8695280920899028,0.8718332006913682,1.0,1.0,2.517042582899867,2.8916613375876246
14,3.3476787175522937,3.536886495169264,0.8620121278568961,0.8611699070824741,1.0,1.0,2.4856665879960045,2.6757165904785287
15,3.3098718851899145,3.490478988685729,0.8557106487633938,0.8741029923291996,1.0,1.0,2.4541612371660713,2.6163759944053737
16,3.275616761686432,3.4382887823151185,0.8494673965158533,0.8315124377655505,1.0,1.0,2.4261493662090965,2.606776345997199
17,3.246748089664463,3.3652861198880477,0.8456152720807598,0.8629234489820575,1.0,1.0,2.4011328184806056,2.5023626708430498
18,3.22347954170505,3.3889111616543506,0.8464718492192225,0.8602393081976217,1.0,1.0,2.3770076909123152,2.5286718513796926
19,3.192558410049366,3.3119986840261197,0.8408687875194056,0.8318540233619109,1.0,1.0,2.3516896218218797,2.480144659090697
20,3.171634560338799,3.267002951129563,0.8393648454040258,0.8082955470180814,1.0,1.0,2.3322697127633263,2.458707401971505
21,3.1668365603389557,3.2823185764622913,0.8438778164488713,0.8565495459179944,1.0,1.0,2.322958742804361,2.4257690324954524
22,3.1482573847080864,3.2285557777602167,0.8420370710657668,0.83026111503589,1.0,1.0,2.306220312808358,2.3982946629760886
23,3.1310743059502735,3.2382969639746917,0.839833893298851,0.829599234408285,1.0,1.0,2.2912404105429163,2.408697732021086
24,3.1113537479479185,3.2965252336504087,0.8354712311166644,0.8139691820492084,1.0,1.0,2.2758825168627244,2.4825560533005935
25,3.098287843537557,3.2322359500490245,0.8353449904931258,0.8290144574554065,1.0,1.0,2.2629428532332527,2.403221490642463
26,3.0739268503823527,3.175556386536756,0.828312777399765,0.8174096447865085,1.0,1.0,2.2456140735018466,2.358146740617319
27,3.0570178923158737,3.163436175903272,0.824170213377589,0.8188580370251455,1.0,1.0,2.2328476791900465,2.3445781379969595
28,3.0379275570071864,3.2548059571255097,0.8203764924781501,0.8099396748049332,1.0,1.0,2.217551063490518,2.4448662799917784
29,3.016962343057836,3.1376099055269075,0.8117319825710188,0.8104069794999257,1.0,1.0,2.2052303593538882,2.3272029313769234
30,3.0026266489260554,3.178132853764793,0.8091131405002087,0.7953428639907394,1.0,1.0,2.193513507481739,2.3827899846758736
