Epoch,Train_total_loss,Val_total_loss,Train_commit_loss,Val_commit_loss,Train_codes_usage,Val_codes_usage,Train_recon_loss,Val_recon_loss
1,72.33765244937119,9.545792569580401,0.24495199747007917,0.4735760534577536,1.0,1.0,72.0927004794007,9.072216495163463
2,6.972600116649173,5.85944987904308,0.6198829881603011,0.811887642838761,1.0,1.0,6.352717129960105,5.047562235637854
3,5.339357194200614,5.752347784535812,0.8917817145806306,0.9179492179921965,1.0,1.0,4.447575480029097,4.834398557669006
4,4.6954779359959495,5.977878816779841,0.9456737896677307,0.947978337186191,1.0,1.0,3.749804144927793,5.029900474306649
5,4.299475938113211,4.839171604722455,0.9156770546937316,0.903295632715336,1.0,1.0,3.3837988796430505,3.9358759699300827
6,4.037250784911223,4.357141286292071,0.8789477663502144,0.860981466777725,1.0,1.0,3.1583030176011664,3.4961598171226074
7,3.8593912499759115,4.4344827038685395,0.8542195919196985,0.8637166203893603,1.0,1.0,3.0051716568603437,3.5707660864373825
8,3.7248270056567447,4.048610435493896,0.8383149660911329,0.8429532798819457,1.0,1.0,2.88651203863724,3.205657151835521
9,3.614975007056183,4.180398946578802,0.8225352122451335,0.7940401122713542,1.0,1.0,2.7924397933948883,3.3863588333633405
10,3.52635328073562,3.9542410111855304,0.8117673503905692,0.8185189163672257,1.0,1.0,2.714585931651066,3.135722093874197
11,3.4542796897535717,3.678546203605225,0.8037328754710044,0.8033424472985071,1.0,1.0,2.650546812205531,2.8752037562437773
12,3.393864279374905,3.6327795604717896,0.7968297993180115,0.7868054965481461,1.0,1.0,2.5970344774763334,2.8459740626648338
13,3.3445547297360902,3.7107558028876717,0.7914600048642979,0.7772898756463273,1.0,1.0,2.5530947244469444,2.93346592667488
14,3.2957982319587136,3.4475064066168875,0.7851123008109951,0.7941191980680166,1.0,1.0,2.51068593204462,2.653387208674752
15,3.2489225452150188,3.550515870484027,0.776140034340377,0.762169654165427,1.0,1.0,2.472782511928895,2.788346214556266
16,3.214002844272722,3.2666944342153,0.7723627461960348,0.7556550731251082,1.0,1.0,2.4416400994771132,2.51103936341899
17,3.177914218829577,3.2468860494297433,0.7681682659775302,0.7592005473507496,1.0,1.0,2.4097459522069067,2.487685504533673
18,3.1485905302363943,3.4293634936827164,0.7641344701255639,0.7776768154050632,1.0,1.0,2.384456060976262,2.6516866789699987
19,3.1201495866211566,3.2512825736274436,0.761020162855811,0.7508995021283312,1.0,1.0,2.359129424961215,2.500383070303243
20,3.0946082406084288,3.2983416594572783,0.7580956820135005,0.7566142542938749,1.0,1.0,2.336512560199911,2.5417274049116414
21,3.0700238229984214,3.2661465954000115,0.7551698627101834,0.7572468081145,1.0,1.0,2.314853961956161,2.5088997822502725
22,3.0498163671151133,3.215875458188646,0.7527292874477481,0.7567470915214313,1.0,1.0,2.297087078109588,2.459128366478393
23,3.0290991050263014,3.3570490618567783,0.7501694031350842,0.7638476314111647,1.0,1.0,2.278929701198872,2.593201427802113
24,3.011510113476448,3.2481832154323333,0.7478534333494422,0.7614313798947722,1.0,1.0,2.2636566790884878,2.486751840132217
25,2.9921724492922,3.176641214485531,0.7446416010637595,0.7422819714737543,1.0,1.0,2.247530846466107,2.4343592399276925
26,2.9729081794477943,3.4204736334972927,0.7413091773625538,0.7499908252275984,1.0,1.0,2.2315990016603924,2.670482805689134
27,2.958177118392026,3.11166576447935,0.7393650959040321,0.7450625797007882,1.0,1.0,2.2188120236051874,2.366603188554991
28,2.9427471888480747,3.1278005016391357,0.7376539718670477,0.748768458585427,1.0,1.0,2.2050932160211842,2.37903204324253
29,2.9252087002445046,3.183120397479129,0.7340982228895175,0.7513666448774409,1.0,1.0,2.191110476174853,2.431753754867546
30,2.913980839748443,3.0464009871074995,0.7330528727428715,0.7404349262510459,1.0,1.0,2.1809279676035063,2.3059660594088225
31,2.896854513172363,3.208019119885051,0.7288366177895252,0.7291283770498781,1.0,1.0,2.168017896421356,2.478890745919257
32,2.881268324796602,3.0362635537462728,0.725503019555821,0.723286133507363,1.0,1.0,2.155765305602689,2.312977423134172
33,2.8695940032931793,3.013194622182796,0.7241917379523028,0.7210634287836182,1.0,1.0,2.145402263342516,2.292131194595047
34,2.8556182048388745,2.9699031483409524,0.7206217758160836,0.7213655157602827,1.0,1.0,2.1349964285979426,2.248537631825384
35,2.844586593674254,2.9667946179540006,0.719052845330903,0.7295431768503965,1.0,1.0,2.125533747446449,2.237251441229485
36,2.8325163040392756,2.989396157964608,0.7169372310513805,0.72446337307645,1.0,1.0,2.1155790734127433,2.264932782874062
37,2.82102065938579,2.944027549739624,0.7145226973068626,0.7246436136199403,1.0,1.0,2.106497960898793,2.2193839324691353
38,2.809091226603942,3.0212536749391647,0.712078943722729,0.7077088633585631,1.0,1.0,2.0970122847536925,2.313544811517661
39,2.801428640593697,2.945960257599699,0.7120095943322026,0.728970792250749,1.0,1.0,2.08941904569503,2.2169894642160206
40,2.7907549460687004,2.936138290538204,0.7092157230017178,0.7169486005429607,1.0,1.0,2.0815392234446253,2.2191896889252547
41,2.7823627985769996,2.929485284539437,0.7081513002656455,0.7241046755341567,1.0,1.0,2.0742114991925207,2.2053806129705316
42,2.7718499703795003,2.8965700342385796,0.7059283649279424,0.7079081349035503,1.0,1.0,2.0659216051997955,2.188661900467958
43,2.764939556152038,2.90277766350582,0.7049400551990068,0.7084052450050145,1.0,1.0,2.0599994995840754,2.194372411766173
44,2.755554134201223,2.9017741644898587,0.701717925030805,0.7020567880890312,1.0,1.0,2.053836210822606,2.1997173777855186
45,2.7469890639421934,2.8751063732058597,0.7006908005148708,0.7011345028877258,1.0,1.0,2.046298263002474,2.173971871388122
46,2.738401200791473,2.890584152880289,0.6999255264258561,0.7001535076148406,1.0,1.0,2.038475673925033,2.1904306460836747
47,2.73092792882587,2.8608542644234873,0.6979958055955933,0.68882308798078,1.0,1.0,2.0329321223176393,2.172031174491552
48,2.7221761800293685,2.886731677473284,0.6958734830713574,0.6982775419919015,1.0,1.0,2.0263026957149366,2.188454133152584
49,2.715942755609027,2.844054213295265,0.6949295693931761,0.6913560636443851,1.0,1.0,2.0210131833520584,2.15269814839207
50,2.706586454586847,2.839472625676027,0.693108303179333,0.7007741241419831,1.0,1.0,2.0134781504948767,2.138698504114604
